,name,variety,description
10,Rodney Strong 2015 Alexander's Crown Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,"Bright in acidity and offering firm tannic structure, this lush wine is gracefully lengthy and powerful in weight. Red fruit, anise, fennel and sage provide a richness of flavor across the palate, with a depth of chocolate and blackberry jam that lingers on the finish. Virginie Boone"
11,Beaulieu Vineyard 2016 Georges De Latour Private Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Thick, concentrated and hugely structured, this wine from the famous site is robust in tannin and oak, with a core of tangy red fruit, both currant and cassis. It builds succulence on the palate as it opens, allowing for a generosity of spirit and fruit. Still, cellaring will benefit the wine; enjoy best from 2026–2031. Virginie Boone"
12,Wirra Wirra 2016 Dead Ringer Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,"A complex combo of brambly blueberries, cassis, pencil lead, tobacco, game and eucalyptus carry the nose. These flavors flow through to the palate where the oak plays a fairly dominant role at the moment, along with a grip of dusty tannins and drying tannins. There's restraint, focus and structure—all elements to suggest a long and lovely life for this well made wine. Drink 2020–2029. Christina Pickard"
13,Falcone 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling by John and Helen Falcone offers aromas of black cherry, roasted wood and savory cracked pepper. The palate combines black-cherry sauce with hickory-smoke flavors, wrapped in smooth polished tannins and a silky mouthfeel. Matt Kettmann"
14,Mauritson 2016 Positas Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,"The name for this wine refers to a gravelly loam soil formed in alluvial beds and often found on bench lands and side slopes. It shows tangy currant and black cherry, with herbal sage and anise around the edges. The tannins are still young and gripping. Enjoy 2021–2026. Virginie Boone"
15,Iron + Sand 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"The black fruit aroma is reserved on the nose of this bottling, allowing violet, stone, loam and a hint of herbs to come to the forefront. The dry palate is cohesive in flavors of black cherry, purple flowers and soil, with a hint of black olive. The subtleties will benefit from cellaring. Drink 2021–2032. Matt Kettmann"
16,Four Lanterns 2016 Third Blue Hour Cabernet Sauvignon (Templeton Gap District),Cabernet Sauvignon,"There are immensely dense fruit aromas on the nose of this bottling, where cassis and lilac prove elegant and deep once they emerge from the structured backdrop. A crunchy blackberry flavor meets with violet on the palate, which is firm with tannins that start to relent by the finish. Drink 2021–2031. Matt Kettmann"
17,Clairault 2016 Estate Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,"A vibrant cherry color, this wine delivers bright raspberry and cherry fruit alongside mint, tobacco leaf, pencil lead and fistfuls of wild green herbs. It plays between power and finesse on the palate, displaying a satiny texture that is fastened by a firm clasp of finely structured tannins. Drink now through 2029. Christina Pickard"
18,Sightglass 2017 Cabernet Sauvignon (Columbia Valley (WA)),Columbia Valley (WA),"All varietal, fruit for this wine comes from Stillwater Creek Vineyard. Dark roasted coffee bean, cherry and dried herb aromas are out front. Creamy, rich fruit and barrel flavors follow. It's a Cabernet lover's Cabernet and has the stuffing to go the distance. Sean P. Sullivan"
19,Treana 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"Aromas of black cherry, caramel sauce, dried herbs and crushed rocks lead into a palate shaped by strong yet relenting tannins. Flavors of oak and more dark cherry ride a silky mouthfeel. Matt Kettmann"
20,Daou 2016 Soul of a Lion Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"Aromas of coffee bean, charred meat, blackberry and toast show on the nose of this blend of 86% Cabernet Sauvignon, 10% Cabernet Franc and 4% Petit Verdot. There is compelling density to the palate, which offers flavors of espresso, cocoa, charred toast and blackberry. Matt Kettmann"
21,Austin Hope 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling remains as impressive and delicious as it did upon debut two vintages ago. Aromas of black cherry, hickory smoke and vanilla cookie lead into a palate of brown sugar, sea salt, caramel and black-cherry foam, all framed by polished tannins and just enough acidity. Matt Kettmann"
22,Stag's Leap Wine Cellars 2016 Cask 23 Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"This gorgeous wine combines the best of two historic vineyards—Fay and S.L.V.—into one cohesive, refined whole. A soft entry of woody spice and toasted oak leads the way to an expansive midpalate of currant, crushed rock, dried herb and elegant tannins begging for further time in the bottle. Enjoy 2026–2036. Virginie Boone"
23,Obsidian Ridge 2016 Half-Mile Cabernet Sauvignon (Red Hills),Cabernet Sauvignon,"This layered, complex and polished wine is compelling from the first scent of clove, black plum and black cherry to the rich, saturated flavors and the lingering spiced-plum finish. A warm layer of soft tannins envelops the palate as subtle blackberry and dark-chocolate notes emerge with repeated sipping and linger on the finish. Aged for 18 months in all new Hungarian Kadar barrels, it will mature through 2030. Jim Gordon"
24,Chappellet 2015 Pritchard Hill Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"This is a powerfully concentrated and constructed wine, with 14% Petit Verdot and 8% Malbec. Dark, inky and reductive, it offers waves of tar, leather and toasted oak within sinewy tannins. Chewy black fruit is structured around wild elements of cedar, dried herb and sage, with lingering notes of clove. This is one to let settle; enjoy best from 2025–2030. Virginie Boone"
25,Diamond Creek 2016 Gravelly Meadow Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,"From a five-acre section of the vineyard, this classic red is blended with 8% Merlot and 2% Cabernet Franc. Crushed rock, red fruit and warm baking spices combine around a grippy midpalate of leather, clove and tobacco—the power gracefully persistent. The finish is brambly and bright. Allow this youthful wine to age; enjoy best from 2026–2031. Virginie Boone"
26,Arietta 2016 Cabernet Sauvignon (Napa Valley),Napa Valley,"Sourced predominantly from the Coombsville appellation, this is a stunning, beautifully aromatic wine made with 3% Petit Verdot. Winemaker Andy Erickson coaxes clove, red currant and a bite of acidity from soft, seamlessly rounded layers of classic structure and grace. Earthy tones of gravel and dried herb provide contrast to the powerful fruit. Enjoy best from 2026–2030. Virginie Boone"
27,Justin 2016 Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,"There's a compelling density of aromas in the way of blackberry, dark cocoa and savory charred meat on the nose of this bottling. The palate is deep and ripe yet balanced by a dry structure, offering flavors of black cherry, black currant, cocoa and espresso bean. Matt Kettmann"
28,Stag's Leap Wine Cellars 2016 S.L.V. Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Graphite, flint and toasted oak accent a core of brawny, concentrated black fruit in this estate red. Clove, black currant, cigar box and firm, structured tannins contribute to the classic nature of this well-made wine. Enjoy 2026–2031. Virginie Boone"
29,Obsidian Ridge 2016 Estate Grown Cabernet Sauvignon (Red Hills),Cabernet Sauvignon,"A deep, dark color and generous black-fruit aromas lead to well-extracted flavors of blackberry, blueberry and black currant on the palate, while a thick blanket of fine-grained tannins wraps it all in. It is huge in structure but matched by luxurious, layered fruit and spice flavors. Best 2023–2033. Jim Gordon"
30,Rodney Strong 2015 Alexander's Crown Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,"Bright in acidity and offering firm tannic structure, this lush wine is gracefully lengthy and powerful in weight. Red fruit, anise, fennel and sage provide a richness of flavor across the palate, with a depth of chocolate and blackberry jam that lingers on the finish. Virginie Boone"
31,Beaulieu Vineyard 2016 Georges De Latour Private Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Thick, concentrated and hugely structured, this wine from the famous site is robust in tannin and oak, with a core of tangy red fruit, both currant and cassis. It builds succulence on the palate as it opens, allowing for a generosity of spirit and fruit. Still, cellaring will benefit the wine; enjoy best from 2026–2031. Virginie Boone"
32,Wirra Wirra 2016 Dead Ringer Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,"A complex combo of brambly blueberries, cassis, pencil lead, tobacco, game and eucalyptus carry the nose. These flavors flow through to the palate where the oak plays a fairly dominant role at the moment, along with a grip of dusty tannins and drying tannins. There's restraint, focus and structure—all elements to suggest a long and lovely life for this well made wine. Drink 2020–2029. Christina Pickard"
33,Falcone 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling by John and Helen Falcone offers aromas of black cherry, roasted wood and savory cracked pepper. The palate combines black-cherry sauce with hickory-smoke flavors, wrapped in smooth polished tannins and a silky mouthfeel. Matt Kettmann"
34,Mauritson 2016 Positas Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,"The name for this wine refers to a gravelly loam soil formed in alluvial beds and often found on bench lands and side slopes. It shows tangy currant and black cherry, with herbal sage and anise around the edges. The tannins are still young and gripping. Enjoy 2021–2026. Virginie Boone"
35,Iron + Sand 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"The black fruit aroma is reserved on the nose of this bottling, allowing violet, stone, loam and a hint of herbs to come to the forefront. The dry palate is cohesive in flavors of black cherry, purple flowers and soil, with a hint of black olive. The subtleties will benefit from cellaring. Drink 2021–2032. Matt Kettmann"
36,Four Lanterns 2016 Third Blue Hour Cabernet Sauvignon (Templeton Gap District),Cabernet Sauvignon,"There are immensely dense fruit aromas on the nose of this bottling, where cassis and lilac prove elegant and deep once they emerge from the structured backdrop. A crunchy blackberry flavor meets with violet on the palate, which is firm with tannins that start to relent by the finish. Drink 2021–2031. Matt Kettmann"
37,Clairault 2016 Estate Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,"A vibrant cherry color, this wine delivers bright raspberry and cherry fruit alongside mint, tobacco leaf, pencil lead and fistfuls of wild green herbs. It plays between power and finesse on the palate, displaying a satiny texture that is fastened by a firm clasp of finely structured tannins. Drink now through 2029. Christina Pickard"
38,Sightglass 2017 Cabernet Sauvignon (Columbia Valley (WA)),Columbia Valley (WA),"All varietal, fruit for this wine comes from Stillwater Creek Vineyard. Dark roasted coffee bean, cherry and dried herb aromas are out front. Creamy, rich fruit and barrel flavors follow. It's a Cabernet lover's Cabernet and has the stuffing to go the distance. Sean P. Sullivan"
39,Treana 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"Aromas of black cherry, caramel sauce, dried herbs and crushed rocks lead into a palate shaped by strong yet relenting tannins. Flavors of oak and more dark cherry ride a silky mouthfeel. Matt Kettmann"
40,Olivier Leflaive 2017  Bâtard-Montrachet,Bâtard-Montrachet,"A blend from four parcels in this famed grand cru, this wine offers a panoply of ripe fruit as well as a dense structure. Acidity comes from the wood aging as well as the fruit to balance this intense wine. It will certainly age, so drink from 2023. Roger Voss"
41,Chanin 2017 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Chardonnay,"Extremely delicate and pure aromas of lemon, nectarine, gardenia and lily are soft and inviting on the nose of this bottling. The palate sizzles with acidity, offering focused but austere flavors of lemon zest and crushed gravel that surround an immensely chalky core. It will mature well through 2042. Matt Kettmann"
42,Chanin 2017 Sanford & Benedict Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,"Very delicate on the nose, this bottling offers aromas of nectarine, white-melon flesh, a hint of melon rind and light lemon spray. The palate is extremely textural, offering subtle flavors of lemon cream, chalk, lemongrass, ash and Brie rind that will live forever. Drink now through 2042. Matt Kettmann"
43,Gruber Röschitz 2017 Eiswein Chardonnay (Niederösterreich),Chardonnay,"A gorgeous nose reveals subtle notions of candied lemon, musk, fresh and rich yellow apple and an edge of hayflower. The palate is intensely sweet and concentrated but shines with the vivid purity expected of Eiswein. This is a little gem, displaying alluring edges of zesty spice. It is lovely now but certain to last. Drink until 2045. Anne Krebiehl MW"
44,Sanguis 2015 Loner Le Dauphine Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Chardonnay,"Clean lines of wet cement, chalk, lime blossom, citrus peel and sandalwood veer into exotic aromatic combinations on the nose of this bottling. There is tremendous tension on the palate, where fine-grained oak tannins uphold the Asian pear, lemon spray and white-rock flavors. Matt Kettmann"
45,Rusack 2017 Santa Catalina Island Vineyard Chardonnay (California),Chardonnay,"Despite the struggles of growing grapes on mountaintops in the middle of an island, this Chardonnay impresses with aromas of tight lemon peel, nectarine, pineapple and lime leaf. There is a blast of acid on the sip, where seared white-peach and lemon flavors prove fresh and lovely. Matt Kettmann"
46,Vincent Girardin 2016  Corton-Charlemagne,Corton-Charlemagne,"This wine has both power and wonderful fruit. The tension between the two will result in a magnificent wine in the future. The wine's acidity and apple and citrus flavors are essential elements in the wine's development. It has a way to go, so drink from 2023. Roger Voss"
47,LaRue 2017 Charles Heintz Vineyard Chardonnay (Sonoma Coast),Chardonnay,"Owner and winemaker Katy Wilson makes very little of this wine sadly, so stock up if you can. Stony mineral and brine figure prominently on entry as a buildup of Meyer lemon, fig and quince define the juicy midpalate of restrained oak and ripeness. Lingering acidity keeps it fresh through a long, spicy finish. Virginie Boone"
48,Raumland 2011 Prestige Brut Chardonnay (Germany),Chardonnay,"Flinty and light-footed, this méthode Champenoise Chardonnay sparkling wine offers crisp apple and lemon flavors accented by hints of burnt sugar and brioche. It's a piercing, persistent wine juxtaposing rich, mouthfilling pétillance against a bristling acidic backbone. Anna Lee C. Iijima"
49,Eden Rift 2017 Terraces Chardonnay (Cienega Valley),Chardonnay,"Crushed white rocks, Asian pear, a touch of butter and a hint of pineapple converge on the nose of this deliciously complex bottling. There is extreme tension on the palate, where lively lemongrass and taut white-fleshed fruit flavors are expertly subtle and will only improve for decades. Drink now through 2037. Matt Kettmann"
50,Olivier Leflaive 2017 Abbaye de Morgeot Premier Cru  (Chassagne-Montrachet),Chardonnay,"The largest of the premier crus in Chassagne-Montrachet takes its name from the ancient abbey on the site. Rich, structured and blending ripe yellow fruits with intense acidity, the wine is concentrated and ageworthy. Drink from 2022. Roger Voss"
51,Xavier Monnot 2017 Les Charmes Premier Cru  (Meursault),Chardonnay,"This wine has great potential. Rich white fruits and generous wood aging form elements of a wine that will take time to mature. To contrast, a strong streak of textured minerality highlights the wine's promise. Drink from 2023. Roger Voss"
52,Côtière 2017 La Rinconada Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,"Clean aromas of yellow peach, roasted pome fruit, light caramel, toast and delicious oak show on the nose of this bottling by Kevin Law. The palate is quite exotic and unique, combining roasted wood, dried peach and mango with hints of saffron, olive oil and aged cheese. Matt Kettmann"
53,Benovia 2017 Three Sisters Chardonnay (Fort Ross-Seaview),Chardonnay,"This gorgeous wine offers aromas of peach, pear and fluffy brioche on the nose, with a rounded, rich and fleshy palate boasting similar flavors. Elegantly structured, it delves deeper into mineral aspects of flint and stone as it opens in the glass, finishing undeniably crisp in tones of apple and Meyer lemon. Virginie Boone"
54,Olivier Leflaive 2017 Les Folatières Premier Cru  (Puligny-Montrachet),Chardonnay,"Farmed biodynamically (as are all the vineyards owned by this producer), two parcels within the premier cru provided grapes for this wine. Superbly structured, it combines yellow and white-fruit flavors with generous spice, toast and minerality. The result is a wine that will age extremely well. Drink from 2023. Roger Voss"
55,Smith-Madrone 2016 Estate Bottled Chardonnay (Spring Mountain District),Chardonnay,"This gorgeous, acid-driven Chardonnay is made from the producer's dry-farmed estate. Stone, apricot, apple, pear and fig ride along a focused, linear palate. Barrel fermentation has lent texture and nuance without distraction. It finishes succulent, soft and inviting. Virginie Boone"
56,Château de Santenay 2017 Les Folatières Premier Cru  (Puligny-Montrachet),Chardonnay,"From one of the best known and finest of the many Puligny-Montrachet premier crus, this wine is structured and potentially very fine. Wood-aging acidity balances the ripe white fruit acidity and strong mineral texture. Rich and concentrated, this wine will be ready from 2022. Roger Voss"
57,Arnaud Baillot 2017  Corton-Charlemagne,Corton-Charlemagne,"In this ripe white-wine year, Corton-Charlemagne is especially powerful. This wine's considerable concentration unfurls swathes of rich white fruits filled out with minerality and crispened by acidity. The wine's potential is long term and it shouldn't be touched before 2023. Roger Voss"
58,Vincent Girardin 2016 Les Folatières Premier Cru  (Puligny-Montrachet),Chardonnay,"This opulent wine comes from one of the best premier cru vineyards in Puligny. That richness is balanced by crisp minerality and acidity, bringing out both the texture and the lemon flavors. The wine is still developing and will be at its best from 2022. Roger Voss"
59,Pascal Clément 2016 Charmes Premier Cru  (Meursault),Chardonnay,"A structured and mineral wine with warm apricot flavors, this is dense and complex. Wood aging gives spice that is balanced by the creamy texture and finished with a final burst of acidity. Drink the wine from 2021. Roger Voss"
60,Olivier Leflaive 2017  Bâtard-Montrachet,Bâtard-Montrachet,"A blend from four parcels in this famed grand cru, this wine offers a panoply of ripe fruit as well as a dense structure. Acidity comes from the wood aging as well as the fruit to balance this intense wine. It will certainly age, so drink from 2023. Roger Voss"
61,Chanin 2017 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Chardonnay,"Extremely delicate and pure aromas of lemon, nectarine, gardenia and lily are soft and inviting on the nose of this bottling. The palate sizzles with acidity, offering focused but austere flavors of lemon zest and crushed gravel that surround an immensely chalky core. It will mature well through 2042. Matt Kettmann"
62,Chanin 2017 Sanford & Benedict Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,"Very delicate on the nose, this bottling offers aromas of nectarine, white-melon flesh, a hint of melon rind and light lemon spray. The palate is extremely textural, offering subtle flavors of lemon cream, chalk, lemongrass, ash and Brie rind that will live forever. Drink now through 2042. Matt Kettmann"
63,Gruber Röschitz 2017 Eiswein Chardonnay (Niederösterreich),Chardonnay,"A gorgeous nose reveals subtle notions of candied lemon, musk, fresh and rich yellow apple and an edge of hayflower. The palate is intensely sweet and concentrated but shines with the vivid purity expected of Eiswein. This is a little gem, displaying alluring edges of zesty spice. It is lovely now but certain to last. Drink until 2045. Anne Krebiehl MW"
64,Sanguis 2015 Loner Le Dauphine Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Chardonnay,"Clean lines of wet cement, chalk, lime blossom, citrus peel and sandalwood veer into exotic aromatic combinations on the nose of this bottling. There is tremendous tension on the palate, where fine-grained oak tannins uphold the Asian pear, lemon spray and white-rock flavors. Matt Kettmann"
65,Rusack 2017 Santa Catalina Island Vineyard Chardonnay (California),Chardonnay,"Despite the struggles of growing grapes on mountaintops in the middle of an island, this Chardonnay impresses with aromas of tight lemon peel, nectarine, pineapple and lime leaf. There is a blast of acid on the sip, where seared white-peach and lemon flavors prove fresh and lovely. Matt Kettmann"
66,Vincent Girardin 2016  Corton-Charlemagne,Corton-Charlemagne,"This wine has both power and wonderful fruit. The tension between the two will result in a magnificent wine in the future. The wine's acidity and apple and citrus flavors are essential elements in the wine's development. It has a way to go, so drink from 2023. Roger Voss"
67,LaRue 2017 Charles Heintz Vineyard Chardonnay (Sonoma Coast),Chardonnay,"Owner and winemaker Katy Wilson makes very little of this wine sadly, so stock up if you can. Stony mineral and brine figure prominently on entry as a buildup of Meyer lemon, fig and quince define the juicy midpalate of restrained oak and ripeness. Lingering acidity keeps it fresh through a long, spicy finish. Virginie Boone"
68,Raumland 2011 Prestige Brut Chardonnay (Germany),Chardonnay,"Flinty and light-footed, this méthode Champenoise Chardonnay sparkling wine offers crisp apple and lemon flavors accented by hints of burnt sugar and brioche. It's a piercing, persistent wine juxtaposing rich, mouthfilling pétillance against a bristling acidic backbone. Anna Lee C. Iijima"
69,Eden Rift 2017 Terraces Chardonnay (Cienega Valley),Chardonnay,"Crushed white rocks, Asian pear, a touch of butter and a hint of pineapple converge on the nose of this deliciously complex bottling. There is extreme tension on the palate, where lively lemongrass and taut white-fleshed fruit flavors are expertly subtle and will only improve for decades. Drink now through 2037. Matt Kettmann"
70,Olivier Leflaive 2017 Abbaye de Morgeot Premier Cru  (Chassagne-Montrachet),Chardonnay,"The largest of the premier crus in Chassagne-Montrachet takes its name from the ancient abbey on the site. Rich, structured and blending ripe yellow fruits with intense acidity, the wine is concentrated and ageworthy. Drink from 2022. Roger Voss"
71,Xavier Monnot 2017 Les Charmes Premier Cru  (Meursault),Chardonnay,"This wine has great potential. Rich white fruits and generous wood aging form elements of a wine that will take time to mature. To contrast, a strong streak of textured minerality highlights the wine's promise. Drink from 2023. Roger Voss"
72,Côtière 2017 La Rinconada Vineyard Chardonnay (Sta. Rita Hills),Chardonnay,"Clean aromas of yellow peach, roasted pome fruit, light caramel, toast and delicious oak show on the nose of this bottling by Kevin Law. The palate is quite exotic and unique, combining roasted wood, dried peach and mango with hints of saffron, olive oil and aged cheese. Matt Kettmann"
73,Benovia 2017 Three Sisters Chardonnay (Fort Ross-Seaview),Chardonnay,"This gorgeous wine offers aromas of peach, pear and fluffy brioche on the nose, with a rounded, rich and fleshy palate boasting similar flavors. Elegantly structured, it delves deeper into mineral aspects of flint and stone as it opens in the glass, finishing undeniably crisp in tones of apple and Meyer lemon. Virginie Boone"
74,Olivier Leflaive 2017 Les Folatières Premier Cru  (Puligny-Montrachet),Chardonnay,"Farmed biodynamically (as are all the vineyards owned by this producer), two parcels within the premier cru provided grapes for this wine. Superbly structured, it combines yellow and white-fruit flavors with generous spice, toast and minerality. The result is a wine that will age extremely well. Drink from 2023. Roger Voss"
75,Smith-Madrone 2016 Estate Bottled Chardonnay (Spring Mountain District),Chardonnay,"This gorgeous, acid-driven Chardonnay is made from the producer's dry-farmed estate. Stone, apricot, apple, pear and fig ride along a focused, linear palate. Barrel fermentation has lent texture and nuance without distraction. It finishes succulent, soft and inviting. Virginie Boone"
76,Château de Santenay 2017 Les Folatières Premier Cru  (Puligny-Montrachet),Chardonnay,"From one of the best known and finest of the many Puligny-Montrachet premier crus, this wine is structured and potentially very fine. Wood-aging acidity balances the ripe white fruit acidity and strong mineral texture. Rich and concentrated, this wine will be ready from 2022. Roger Voss"
77,Arnaud Baillot 2017  Corton-Charlemagne,Corton-Charlemagne,"In this ripe white-wine year, Corton-Charlemagne is especially powerful. This wine's considerable concentration unfurls swathes of rich white fruits filled out with minerality and crispened by acidity. The wine's potential is long term and it shouldn't be touched before 2023. Roger Voss"
78,Vincent Girardin 2016 Les Folatières Premier Cru  (Puligny-Montrachet),Chardonnay,"This opulent wine comes from one of the best premier cru vineyards in Puligny. That richness is balanced by crisp minerality and acidity, bringing out both the texture and the lemon flavors. The wine is still developing and will be at its best from 2022. Roger Voss"
79,Pascal Clément 2016 Charmes Premier Cru  (Meursault),Chardonnay,"A structured and mineral wine with warm apricot flavors, this is dense and complex. Wood aging gives spice that is balanced by the creamy texture and finished with a final burst of acidity. Drink the wine from 2021. Roger Voss"
80,I. Brand & Family 2018 Eden Rift Vineyard Pinot Gris (Cienega Valley),Pinot Gris,"With dynamic and complex expressions like this, it's a wonder why people started stripping the naturally pink hue that Pinot Gris provides. The pinkish orange wine delivers aromas of strawberry sorbet and rosebuds and then opens onto a palate of light raspberry and watermelon. There is ample tannic tension as well. Matt Kettmann"
81,DRNK 2018 Morning Sun Vineyard Pinot Gris (Bennett Valley),Pinot Gris,"Fermented in both amphora and neutral French oak, whole-cluster pressed, this is a light, balanced and floral white from the cool appellation, layered in medium-bodied flavors of green apple and apricot. It shines in lovely acidity and just enough weight. Virginie Boone"
82,Cardwell Hill 2018 Estate Bottled Pinot Gris (Willamette Valley),Pinot Gris,"Even with a price increase this remains a top tier, superb value in Oregon Pinot Gris. Rich, concentrated flavors of Meyer lemon, Honeycrisp apple and peaches with a splash of cream dive deep down through the palate. The intensity is further amped up by perfectly pitched acids, thanks to no malolactic fermentation. Paul Gregutt"
83,Lange 2018 Classique Pinot Gris (Willamette Valley),Pinot Gris,"This is a lovely, lively wine loaded with the flesh and skin of Anjou pear, plus green melon and apple. It's bracing and delicious, with freshness and a vivid, acid-driven mouthfeel. The fruits fairly burst in the mouth. Drink this beauty over the next two years. Paul Gregutt"
84,Authentique 2017 Leisure Skin Contact Pinot Gris (Eola-Amity Hills),Pinot Gris,"This delicious rosé is all Pinot Gris, fermented and aged in a mix of amphorae, concrete egg and neutral oak. Whether you consider it an unusually dark white wine, a rosé or an orange wine, it is undeniably delicious. A bright copper color, it's packed with bold flavors of orange and pear liqueur. Slightly oxidized and already a year older than most rosés, it will reward near-term drinking with floral-citrus aromas, lushly ripened fruit and a finishing hint of toast. Paul Gregutt"
85,Lumen 2017 Sierra Madre Vineyard Pinot Gris (Santa Maria Valley),Pinot Gris,"Aromas of peach, chamomile, lemongrass and wax make for a complex entry to this bottling. The palate combines lemon-spray and melon flavors, all wrapped in a sleek texture. Matt Kettmann"
86,Lange 2018 Reserve Pinot Gris (Willamette Valley),Pinot Gris,"The reserve is more serious than the Classique, with less front-loaded fruit and more details of citrus and mineral. Fermented in neutral puncheons and partially aged in concrete egg, it's juicy and tart, with more apple rind than flesh as the principal fruit. Paul Gregutt"
