,name,variety,description
10,Rodney Strong 2015 Alexander's Crown Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,"Bright in acidity and offering firm tannic structure, this lush wine is gracefully lengthy and powerful in weight. Red fruit, anise, fennel and sage provide a richness of flavor across the palate, with a depth of chocolate and blackberry jam that lingers on the finish. Virginie Boone"
11,Beaulieu Vineyard 2016 Georges De Latour Private Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Thick, concentrated and hugely structured, this wine from the famous site is robust in tannin and oak, with a core of tangy red fruit, both currant and cassis. It builds succulence on the palate as it opens, allowing for a generosity of spirit and fruit. Still, cellaring will benefit the wine; enjoy best from 2026–2031. Virginie Boone"
12,Wirra Wirra 2016 Dead Ringer Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,"A complex combo of brambly blueberries, cassis, pencil lead, tobacco, game and eucalyptus carry the nose. These flavors flow through to the palate where the oak plays a fairly dominant role at the moment, along with a grip of dusty tannins and drying tannins. There's restraint, focus and structure—all elements to suggest a long and lovely life for this well made wine. Drink 2020–2029. Christina Pickard"
13,Falcone 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling by John and Helen Falcone offers aromas of black cherry, roasted wood and savory cracked pepper. The palate combines black-cherry sauce with hickory-smoke flavors, wrapped in smooth polished tannins and a silky mouthfeel. Matt Kettmann"
14,Mauritson 2016 Positas Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,"The name for this wine refers to a gravelly loam soil formed in alluvial beds and often found on bench lands and side slopes. It shows tangy currant and black cherry, with herbal sage and anise around the edges. The tannins are still young and gripping. Enjoy 2021–2026. Virginie Boone"
15,Iron + Sand 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"The black fruit aroma is reserved on the nose of this bottling, allowing violet, stone, loam and a hint of herbs to come to the forefront. The dry palate is cohesive in flavors of black cherry, purple flowers and soil, with a hint of black olive. The subtleties will benefit from cellaring. Drink 2021–2032. Matt Kettmann"
16,Four Lanterns 2016 Third Blue Hour Cabernet Sauvignon (Templeton Gap District),Cabernet Sauvignon,"There are immensely dense fruit aromas on the nose of this bottling, where cassis and lilac prove elegant and deep once they emerge from the structured backdrop. A crunchy blackberry flavor meets with violet on the palate, which is firm with tannins that start to relent by the finish. Drink 2021–2031. Matt Kettmann"
17,Clairault 2016 Estate Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,"A vibrant cherry color, this wine delivers bright raspberry and cherry fruit alongside mint, tobacco leaf, pencil lead and fistfuls of wild green herbs. It plays between power and finesse on the palate, displaying a satiny texture that is fastened by a firm clasp of finely structured tannins. Drink now through 2029. Christina Pickard"
18,Sightglass 2017 Cabernet Sauvignon (Columbia Valley (WA)),Columbia Valley (WA),"All varietal, fruit for this wine comes from Stillwater Creek Vineyard. Dark roasted coffee bean, cherry and dried herb aromas are out front. Creamy, rich fruit and barrel flavors follow. It's a Cabernet lover's Cabernet and has the stuffing to go the distance. Sean P. Sullivan"
19,Treana 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"Aromas of black cherry, caramel sauce, dried herbs and crushed rocks lead into a palate shaped by strong yet relenting tannins. Flavors of oak and more dark cherry ride a silky mouthfeel. Matt Kettmann"
20,Daou 2016 Soul of a Lion Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"Aromas of coffee bean, charred meat, blackberry and toast show on the nose of this blend of 86% Cabernet Sauvignon, 10% Cabernet Franc and 4% Petit Verdot. There is compelling density to the palate, which offers flavors of espresso, cocoa, charred toast and blackberry. Matt Kettmann"
21,Austin Hope 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling remains as impressive and delicious as it did upon debut two vintages ago. Aromas of black cherry, hickory smoke and vanilla cookie lead into a palate of brown sugar, sea salt, caramel and black-cherry foam, all framed by polished tannins and just enough acidity. Matt Kettmann"
22,Stag's Leap Wine Cellars 2016 Cask 23 Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"This gorgeous wine combines the best of two historic vineyards—Fay and S.L.V.—into one cohesive, refined whole. A soft entry of woody spice and toasted oak leads the way to an expansive midpalate of currant, crushed rock, dried herb and elegant tannins begging for further time in the bottle. Enjoy 2026–2036. Virginie Boone"
23,Obsidian Ridge 2016 Half-Mile Cabernet Sauvignon (Red Hills),Cabernet Sauvignon,"This layered, complex and polished wine is compelling from the first scent of clove, black plum and black cherry to the rich, saturated flavors and the lingering spiced-plum finish. A warm layer of soft tannins envelops the palate as subtle blackberry and dark-chocolate notes emerge with repeated sipping and linger on the finish. Aged for 18 months in all new Hungarian Kadar barrels, it will mature through 2030. Jim Gordon"
24,Chappellet 2015 Pritchard Hill Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"This is a powerfully concentrated and constructed wine, with 14% Petit Verdot and 8% Malbec. Dark, inky and reductive, it offers waves of tar, leather and toasted oak within sinewy tannins. Chewy black fruit is structured around wild elements of cedar, dried herb and sage, with lingering notes of clove. This is one to let settle; enjoy best from 2025–2030. Virginie Boone"
25,Diamond Creek 2016 Gravelly Meadow Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,"From a five-acre section of the vineyard, this classic red is blended with 8% Merlot and 2% Cabernet Franc. Crushed rock, red fruit and warm baking spices combine around a grippy midpalate of leather, clove and tobacco—the power gracefully persistent. The finish is brambly and bright. Allow this youthful wine to age; enjoy best from 2026–2031. Virginie Boone"
26,Arietta 2016 Cabernet Sauvignon (Napa Valley),Napa Valley,"Sourced predominantly from the Coombsville appellation, this is a stunning, beautifully aromatic wine made with 3% Petit Verdot. Winemaker Andy Erickson coaxes clove, red currant and a bite of acidity from soft, seamlessly rounded layers of classic structure and grace. Earthy tones of gravel and dried herb provide contrast to the powerful fruit. Enjoy best from 2026–2030. Virginie Boone"
27,Justin 2016 Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,"There's a compelling density of aromas in the way of blackberry, dark cocoa and savory charred meat on the nose of this bottling. The palate is deep and ripe yet balanced by a dry structure, offering flavors of black cherry, black currant, cocoa and espresso bean. Matt Kettmann"
28,Stag's Leap Wine Cellars 2016 S.L.V. Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Graphite, flint and toasted oak accent a core of brawny, concentrated black fruit in this estate red. Clove, black currant, cigar box and firm, structured tannins contribute to the classic nature of this well-made wine. Enjoy 2026–2031. Virginie Boone"
29,Obsidian Ridge 2016 Estate Grown Cabernet Sauvignon (Red Hills),Cabernet Sauvignon,"A deep, dark color and generous black-fruit aromas lead to well-extracted flavors of blackberry, blueberry and black currant on the palate, while a thick blanket of fine-grained tannins wraps it all in. It is huge in structure but matched by luxurious, layered fruit and spice flavors. Best 2023–2033. Jim Gordon"
30,Rodney Strong 2015 Alexander's Crown Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,"Bright in acidity and offering firm tannic structure, this lush wine is gracefully lengthy and powerful in weight. Red fruit, anise, fennel and sage provide a richness of flavor across the palate, with a depth of chocolate and blackberry jam that lingers on the finish. Virginie Boone"
31,Beaulieu Vineyard 2016 Georges De Latour Private Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Thick, concentrated and hugely structured, this wine from the famous site is robust in tannin and oak, with a core of tangy red fruit, both currant and cassis. It builds succulence on the palate as it opens, allowing for a generosity of spirit and fruit. Still, cellaring will benefit the wine; enjoy best from 2026–2031. Virginie Boone"
32,Wirra Wirra 2016 Dead Ringer Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,"A complex combo of brambly blueberries, cassis, pencil lead, tobacco, game and eucalyptus carry the nose. These flavors flow through to the palate where the oak plays a fairly dominant role at the moment, along with a grip of dusty tannins and drying tannins. There's restraint, focus and structure—all elements to suggest a long and lovely life for this well made wine. Drink 2020–2029. Christina Pickard"
33,Falcone 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling by John and Helen Falcone offers aromas of black cherry, roasted wood and savory cracked pepper. The palate combines black-cherry sauce with hickory-smoke flavors, wrapped in smooth polished tannins and a silky mouthfeel. Matt Kettmann"
34,Mauritson 2016 Positas Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,"The name for this wine refers to a gravelly loam soil formed in alluvial beds and often found on bench lands and side slopes. It shows tangy currant and black cherry, with herbal sage and anise around the edges. The tannins are still young and gripping. Enjoy 2021–2026. Virginie Boone"
35,Iron + Sand 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"The black fruit aroma is reserved on the nose of this bottling, allowing violet, stone, loam and a hint of herbs to come to the forefront. The dry palate is cohesive in flavors of black cherry, purple flowers and soil, with a hint of black olive. The subtleties will benefit from cellaring. Drink 2021–2032. Matt Kettmann"
36,Four Lanterns 2016 Third Blue Hour Cabernet Sauvignon (Templeton Gap District),Cabernet Sauvignon,"There are immensely dense fruit aromas on the nose of this bottling, where cassis and lilac prove elegant and deep once they emerge from the structured backdrop. A crunchy blackberry flavor meets with violet on the palate, which is firm with tannins that start to relent by the finish. Drink 2021–2031. Matt Kettmann"
37,Clairault 2016 Estate Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,"A vibrant cherry color, this wine delivers bright raspberry and cherry fruit alongside mint, tobacco leaf, pencil lead and fistfuls of wild green herbs. It plays between power and finesse on the palate, displaying a satiny texture that is fastened by a firm clasp of finely structured tannins. Drink now through 2029. Christina Pickard"
38,Sightglass 2017 Cabernet Sauvignon (Columbia Valley (WA)),Columbia Valley (WA),"All varietal, fruit for this wine comes from Stillwater Creek Vineyard. Dark roasted coffee bean, cherry and dried herb aromas are out front. Creamy, rich fruit and barrel flavors follow. It's a Cabernet lover's Cabernet and has the stuffing to go the distance. Sean P. Sullivan"
39,Treana 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"Aromas of black cherry, caramel sauce, dried herbs and crushed rocks lead into a palate shaped by strong yet relenting tannins. Flavors of oak and more dark cherry ride a silky mouthfeel. Matt Kettmann"
40,Daou 2016 Soul of a Lion Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"Aromas of coffee bean, charred meat, blackberry and toast show on the nose of this blend of 86% Cabernet Sauvignon, 10% Cabernet Franc and 4% Petit Verdot. There is compelling density to the palate, which offers flavors of espresso, cocoa, charred toast and blackberry. Matt Kettmann"
41,Austin Hope 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling remains as impressive and delicious as it did upon debut two vintages ago. Aromas of black cherry, hickory smoke and vanilla cookie lead into a palate of brown sugar, sea salt, caramel and black-cherry foam, all framed by polished tannins and just enough acidity. Matt Kettmann"
42,Stag's Leap Wine Cellars 2016 Cask 23 Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"This gorgeous wine combines the best of two historic vineyards—Fay and S.L.V.—into one cohesive, refined whole. A soft entry of woody spice and toasted oak leads the way to an expansive midpalate of currant, crushed rock, dried herb and elegant tannins begging for further time in the bottle. Enjoy 2026–2036. Virginie Boone"
43,Obsidian Ridge 2016 Half-Mile Cabernet Sauvignon (Red Hills),Cabernet Sauvignon,"This layered, complex and polished wine is compelling from the first scent of clove, black plum and black cherry to the rich, saturated flavors and the lingering spiced-plum finish. A warm layer of soft tannins envelops the palate as subtle blackberry and dark-chocolate notes emerge with repeated sipping and linger on the finish. Aged for 18 months in all new Hungarian Kadar barrels, it will mature through 2030. Jim Gordon"
44,Chappellet 2015 Pritchard Hill Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"This is a powerfully concentrated and constructed wine, with 14% Petit Verdot and 8% Malbec. Dark, inky and reductive, it offers waves of tar, leather and toasted oak within sinewy tannins. Chewy black fruit is structured around wild elements of cedar, dried herb and sage, with lingering notes of clove. This is one to let settle; enjoy best from 2025–2030. Virginie Boone"
45,Diamond Creek 2016 Gravelly Meadow Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,"From a five-acre section of the vineyard, this classic red is blended with 8% Merlot and 2% Cabernet Franc. Crushed rock, red fruit and warm baking spices combine around a grippy midpalate of leather, clove and tobacco—the power gracefully persistent. The finish is brambly and bright. Allow this youthful wine to age; enjoy best from 2026–2031. Virginie Boone"
46,Arietta 2016 Cabernet Sauvignon (Napa Valley),Napa Valley,"Sourced predominantly from the Coombsville appellation, this is a stunning, beautifully aromatic wine made with 3% Petit Verdot. Winemaker Andy Erickson coaxes clove, red currant and a bite of acidity from soft, seamlessly rounded layers of classic structure and grace. Earthy tones of gravel and dried herb provide contrast to the powerful fruit. Enjoy best from 2026–2030. Virginie Boone"
47,Justin 2016 Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,"There's a compelling density of aromas in the way of blackberry, dark cocoa and savory charred meat on the nose of this bottling. The palate is deep and ripe yet balanced by a dry structure, offering flavors of black cherry, black currant, cocoa and espresso bean. Matt Kettmann"
48,Stag's Leap Wine Cellars 2016 S.L.V. Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Graphite, flint and toasted oak accent a core of brawny, concentrated black fruit in this estate red. Clove, black currant, cigar box and firm, structured tannins contribute to the classic nature of this well-made wine. Enjoy 2026–2031. Virginie Boone"
49,Obsidian Ridge 2016 Estate Grown Cabernet Sauvignon (Red Hills),Cabernet Sauvignon,"A deep, dark color and generous black-fruit aromas lead to well-extracted flavors of blackberry, blueberry and black currant on the palate, while a thick blanket of fine-grained tannins wraps it all in. It is huge in structure but matched by luxurious, layered fruit and spice flavors. Best 2023–2033. Jim Gordon"
50,Rodney Strong 2015 Alexander's Crown Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,"Bright in acidity and offering firm tannic structure, this lush wine is gracefully lengthy and powerful in weight. Red fruit, anise, fennel and sage provide a richness of flavor across the palate, with a depth of chocolate and blackberry jam that lingers on the finish. Virginie Boone"
51,Beaulieu Vineyard 2016 Georges De Latour Private Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Thick, concentrated and hugely structured, this wine from the famous site is robust in tannin and oak, with a core of tangy red fruit, both currant and cassis. It builds succulence on the palate as it opens, allowing for a generosity of spirit and fruit. Still, cellaring will benefit the wine; enjoy best from 2026–2031. Virginie Boone"
52,Wirra Wirra 2016 Dead Ringer Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,"A complex combo of brambly blueberries, cassis, pencil lead, tobacco, game and eucalyptus carry the nose. These flavors flow through to the palate where the oak plays a fairly dominant role at the moment, along with a grip of dusty tannins and drying tannins. There's restraint, focus and structure—all elements to suggest a long and lovely life for this well made wine. Drink 2020–2029. Christina Pickard"
53,Falcone 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling by John and Helen Falcone offers aromas of black cherry, roasted wood and savory cracked pepper. The palate combines black-cherry sauce with hickory-smoke flavors, wrapped in smooth polished tannins and a silky mouthfeel. Matt Kettmann"
54,Mauritson 2016 Positas Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,"The name for this wine refers to a gravelly loam soil formed in alluvial beds and often found on bench lands and side slopes. It shows tangy currant and black cherry, with herbal sage and anise around the edges. The tannins are still young and gripping. Enjoy 2021–2026. Virginie Boone"
55,Iron + Sand 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"The black fruit aroma is reserved on the nose of this bottling, allowing violet, stone, loam and a hint of herbs to come to the forefront. The dry palate is cohesive in flavors of black cherry, purple flowers and soil, with a hint of black olive. The subtleties will benefit from cellaring. Drink 2021–2032. Matt Kettmann"
56,Four Lanterns 2016 Third Blue Hour Cabernet Sauvignon (Templeton Gap District),Cabernet Sauvignon,"There are immensely dense fruit aromas on the nose of this bottling, where cassis and lilac prove elegant and deep once they emerge from the structured backdrop. A crunchy blackberry flavor meets with violet on the palate, which is firm with tannins that start to relent by the finish. Drink 2021–2031. Matt Kettmann"
57,Clairault 2016 Estate Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,"A vibrant cherry color, this wine delivers bright raspberry and cherry fruit alongside mint, tobacco leaf, pencil lead and fistfuls of wild green herbs. It plays between power and finesse on the palate, displaying a satiny texture that is fastened by a firm clasp of finely structured tannins. Drink now through 2029. Christina Pickard"
58,Sightglass 2017 Cabernet Sauvignon (Columbia Valley (WA)),Columbia Valley (WA),"All varietal, fruit for this wine comes from Stillwater Creek Vineyard. Dark roasted coffee bean, cherry and dried herb aromas are out front. Creamy, rich fruit and barrel flavors follow. It's a Cabernet lover's Cabernet and has the stuffing to go the distance. Sean P. Sullivan"
59,Treana 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"Aromas of black cherry, caramel sauce, dried herbs and crushed rocks lead into a palate shaped by strong yet relenting tannins. Flavors of oak and more dark cherry ride a silky mouthfeel. Matt Kettmann"
60,Daou 2016 Soul of a Lion Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"Aromas of coffee bean, charred meat, blackberry and toast show on the nose of this blend of 86% Cabernet Sauvignon, 10% Cabernet Franc and 4% Petit Verdot. There is compelling density to the palate, which offers flavors of espresso, cocoa, charred toast and blackberry. Matt Kettmann"
61,Austin Hope 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling remains as impressive and delicious as it did upon debut two vintages ago. Aromas of black cherry, hickory smoke and vanilla cookie lead into a palate of brown sugar, sea salt, caramel and black-cherry foam, all framed by polished tannins and just enough acidity. Matt Kettmann"
62,Stag's Leap Wine Cellars 2016 Cask 23 Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"This gorgeous wine combines the best of two historic vineyards—Fay and S.L.V.—into one cohesive, refined whole. A soft entry of woody spice and toasted oak leads the way to an expansive midpalate of currant, crushed rock, dried herb and elegant tannins begging for further time in the bottle. Enjoy 2026–2036. Virginie Boone"
63,Obsidian Ridge 2016 Half-Mile Cabernet Sauvignon (Red Hills),Cabernet Sauvignon,"This layered, complex and polished wine is compelling from the first scent of clove, black plum and black cherry to the rich, saturated flavors and the lingering spiced-plum finish. A warm layer of soft tannins envelops the palate as subtle blackberry and dark-chocolate notes emerge with repeated sipping and linger on the finish. Aged for 18 months in all new Hungarian Kadar barrels, it will mature through 2030. Jim Gordon"
64,Chappellet 2015 Pritchard Hill Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"This is a powerfully concentrated and constructed wine, with 14% Petit Verdot and 8% Malbec. Dark, inky and reductive, it offers waves of tar, leather and toasted oak within sinewy tannins. Chewy black fruit is structured around wild elements of cedar, dried herb and sage, with lingering notes of clove. This is one to let settle; enjoy best from 2025–2030. Virginie Boone"
65,Diamond Creek 2016 Gravelly Meadow Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,"From a five-acre section of the vineyard, this classic red is blended with 8% Merlot and 2% Cabernet Franc. Crushed rock, red fruit and warm baking spices combine around a grippy midpalate of leather, clove and tobacco—the power gracefully persistent. The finish is brambly and bright. Allow this youthful wine to age; enjoy best from 2026–2031. Virginie Boone"
66,Arietta 2016 Cabernet Sauvignon (Napa Valley),Napa Valley,"Sourced predominantly from the Coombsville appellation, this is a stunning, beautifully aromatic wine made with 3% Petit Verdot. Winemaker Andy Erickson coaxes clove, red currant and a bite of acidity from soft, seamlessly rounded layers of classic structure and grace. Earthy tones of gravel and dried herb provide contrast to the powerful fruit. Enjoy best from 2026–2030. Virginie Boone"
67,Justin 2016 Reserve Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,"There's a compelling density of aromas in the way of blackberry, dark cocoa and savory charred meat on the nose of this bottling. The palate is deep and ripe yet balanced by a dry structure, offering flavors of black cherry, black currant, cocoa and espresso bean. Matt Kettmann"
68,Stag's Leap Wine Cellars 2016 S.L.V. Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Graphite, flint and toasted oak accent a core of brawny, concentrated black fruit in this estate red. Clove, black currant, cigar box and firm, structured tannins contribute to the classic nature of this well-made wine. Enjoy 2026–2031. Virginie Boone"
69,Obsidian Ridge 2016 Estate Grown Cabernet Sauvignon (Red Hills),Cabernet Sauvignon,"A deep, dark color and generous black-fruit aromas lead to well-extracted flavors of blackberry, blueberry and black currant on the palate, while a thick blanket of fine-grained tannins wraps it all in. It is huge in structure but matched by luxurious, layered fruit and spice flavors. Best 2023–2033. Jim Gordon"
70,Rodney Strong 2015 Alexander's Crown Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,"Bright in acidity and offering firm tannic structure, this lush wine is gracefully lengthy and powerful in weight. Red fruit, anise, fennel and sage provide a richness of flavor across the palate, with a depth of chocolate and blackberry jam that lingers on the finish. Virginie Boone"
71,Beaulieu Vineyard 2016 Georges De Latour Private Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,"Thick, concentrated and hugely structured, this wine from the famous site is robust in tannin and oak, with a core of tangy red fruit, both currant and cassis. It builds succulence on the palate as it opens, allowing for a generosity of spirit and fruit. Still, cellaring will benefit the wine; enjoy best from 2026–2031. Virginie Boone"
72,Wirra Wirra 2016 Dead Ringer Cabernet Sauvignon (McLaren Vale),Cabernet Sauvignon,"A complex combo of brambly blueberries, cassis, pencil lead, tobacco, game and eucalyptus carry the nose. These flavors flow through to the palate where the oak plays a fairly dominant role at the moment, along with a grip of dusty tannins and drying tannins. There's restraint, focus and structure—all elements to suggest a long and lovely life for this well made wine. Drink 2020–2029. Christina Pickard"
73,Falcone 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling by John and Helen Falcone offers aromas of black cherry, roasted wood and savory cracked pepper. The palate combines black-cherry sauce with hickory-smoke flavors, wrapped in smooth polished tannins and a silky mouthfeel. Matt Kettmann"
74,Mauritson 2016 Positas Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,"The name for this wine refers to a gravelly loam soil formed in alluvial beds and often found on bench lands and side slopes. It shows tangy currant and black cherry, with herbal sage and anise around the edges. The tannins are still young and gripping. Enjoy 2021–2026. Virginie Boone"
75,Iron + Sand 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"The black fruit aroma is reserved on the nose of this bottling, allowing violet, stone, loam and a hint of herbs to come to the forefront. The dry palate is cohesive in flavors of black cherry, purple flowers and soil, with a hint of black olive. The subtleties will benefit from cellaring. Drink 2021–2032. Matt Kettmann"
76,Four Lanterns 2016 Third Blue Hour Cabernet Sauvignon (Templeton Gap District),Cabernet Sauvignon,"There are immensely dense fruit aromas on the nose of this bottling, where cassis and lilac prove elegant and deep once they emerge from the structured backdrop. A crunchy blackberry flavor meets with violet on the palate, which is firm with tannins that start to relent by the finish. Drink 2021–2031. Matt Kettmann"
77,Clairault 2016 Estate Cabernet Sauvignon (Margaret River),Cabernet Sauvignon,"A vibrant cherry color, this wine delivers bright raspberry and cherry fruit alongside mint, tobacco leaf, pencil lead and fistfuls of wild green herbs. It plays between power and finesse on the palate, displaying a satiny texture that is fastened by a firm clasp of finely structured tannins. Drink now through 2029. Christina Pickard"
78,Sightglass 2017 Cabernet Sauvignon (Columbia Valley (WA)),Columbia Valley (WA),"All varietal, fruit for this wine comes from Stillwater Creek Vineyard. Dark roasted coffee bean, cherry and dried herb aromas are out front. Creamy, rich fruit and barrel flavors follow. It's a Cabernet lover's Cabernet and has the stuffing to go the distance. Sean P. Sullivan"
79,Treana 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"Aromas of black cherry, caramel sauce, dried herbs and crushed rocks lead into a palate shaped by strong yet relenting tannins. Flavors of oak and more dark cherry ride a silky mouthfeel. Matt Kettmann"
80,Daou 2016 Soul of a Lion Cabernet Sauvignon (Adelaida District),Cabernet Sauvignon,"Aromas of coffee bean, charred meat, blackberry and toast show on the nose of this blend of 86% Cabernet Sauvignon, 10% Cabernet Franc and 4% Petit Verdot. There is compelling density to the palate, which offers flavors of espresso, cocoa, charred toast and blackberry. Matt Kettmann"
81,Austin Hope 2017 Cabernet Sauvignon (Paso Robles),Paso Robles,"This bottling remains as impressive and delicious as it did upon debut two vintages ago. Aromas of black cherry, hickory smoke and vanilla cookie lead into a palate of brown sugar, sea salt, caramel and black-cherry foam, all framed by polished tannins and just enough acidity. Matt Kettmann"
